room_name;owner_name;region;location;room_size;is_electricity_included;price_before_discount_bs;all_facilities_bs;room_availability_bs;deposit_amount_bs;price;rating;rating_count;transaction_count;tipe_kos;discount_amount;url
Kost Apik Pondok Refasya Tipe A Beji Depok;Kos dikelola oleh Maya;Depok;Beji;4 x 3.5 meter;Termasuk listrik (implied);Rp1.225.000;"4 x 3.5 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Jendela; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; R. Jemur; Dapur; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp300.000;Rp1.105.000;4.9;(4);6 transaksi berhasil di kos ini;Kos Putra;Diskon 120rb;https://mamikos.com/room/kost-kota-depok-kost-putra-eksklusif-kost-apik-pondok-refasya-tipe-a-beji-depok?redirection_source=list%20kos%20result%20boundary
Kost Apik Pondok Refasya Tipe B Beji Depok;Kos dikelola oleh Maya;Depok;Beji;3.3 x 3.5 meter;Termasuk listrik (implied);Rp1.175.000;"3.3 x 3.5 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Jendela; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; R. Jemur; Dapur; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda";Tersisa2 kamar;Rp300.000;Rp1.060.000;4.6;(13);12 transaksi berhasil di kos ini;Kos Putra;Diskon 115rb;https://mamikos.com/room/kost-kota-depok-kost-putra-eksklusif-kost-apik-pondok-refasya-tipe-b-beji-depok?redirection_source=list%20kos%20result%20boundary
Kost Apik Pondok Refasya Tipe C Beji Depok;Kos dikelola oleh Maya;Depok;Beji;3 x 3.3 meter;Termasuk listrik (implied);Rp1.075.000;"3 x 3.3 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Jendela; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; R. Jemur; Dapur; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda";N/A;Rp300.000;Rp970.000;4.9;(15);36 transaksi berhasil di kos ini;Kos Putra;Diskon 105rb;https://mamikos.com/room/kost-kota-depok-kost-putra-eksklusif-kost-apik-pondok-refasya-tipe-c-beji-depok?redirection_source=list%20kos%20result%20boundary
Kost Apik Pondok Rida Tipe A Beji Depok;Kos dikelola oleh Maya;Depok;Beji;4 x 3 meter;Termasuk listrik (implied);Rp1.275.000;"4 x 3 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Jendela; Bantal; Kloset Jongkok; K. Mandi Luar; Ember mandi; Shower; WiFi; R. Jemur; Taman; Jemuran; Parkir Mobil; Parkir Motor & Sepeda";N/A;Rp150.000;Rp1.150.000;4.6;Not found;Not found;Kos Putra;Diskon 125rb;https://mamikos.com/room/kost-kota-depok-kost-putra-eksklusif-kost-apik-pondok-rida-tipe-a-beji-depok-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Pondok Sagre Kepu Tipe A Senen Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Kecamatan Senen;2.5 x 3.2 meter;Tidak termasuk listrik;Rp1.265.000;"2.5 x 3.2 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Kloset Jongkok; K. Mandi Luar; Shower; WiFi; R. Jemur; Dapur; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;Rp300.000;Rp1.203.000;4.8;(9);12 transaksi berhasil di kos ini;Kos Campur;Diskon 62rb;https://mamikos.com/room/kost-jakarta-pusat-kost-campur-eksklusif-kost-apik-pondok-sagre-kepu-tipe-a-senen-jakarta-pusat-1?redirection_source=list%20kos%20result%20boundary
Kost Apik Pondok Sagre Kepu Tipe B Senen Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Kecamatan Senen;2.5 x 3.2 meter;Tidak termasuk listrik;Rp1.365.000;"2.5 x 3.2 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Kloset Jongkok; K. Mandi Luar; Shower; WiFi; R. Jemur; Dapur; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;Rp300.000;Rp1.298.000;4.9;(6);10 transaksi berhasil di kos ini;Kos Campur;Diskon 67rb;https://mamikos.com/room/kost-jakarta-pusat-kost-campur-eksklusif-kost-apik-pondok-sagre-kepu-tipe-b-senen-jakarta-pusat-1?redirection_source=list%20kos%20result%20boundary
Kost Apik Pondok Sagre Kepu Tipe C Senen Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Kecamatan Senen;2.5 x 3.2 meter;Tidak termasuk listrik;Rp1.615.000;"2.5 x 3.2 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Kloset Jongkok; K. Mandi Luar; Shower; WiFi; R. Jemur; Dapur; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;Rp300.000;Rp1.535.500;4.8;(50);95 transaksi berhasil di kos ini;Kos Campur;Diskon 80rb;https://mamikos.com/room/kost-jakarta-pusat-kost-campur-eksklusif-kost-apik-pondok-sagre-kepu-tipe-c-senen-jakarta-pusat-1?redirection_source=list%20kos%20result%20boundary
Kost Apik Pondok Sagre Kepu Tipe D Senen Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Kecamatan Senen;2.5 x 3.2 meter;Tidak termasuk listrik;Rp1.665.000;"2.5 x 3.2 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Kloset Jongkok; K. Mandi Luar; Shower; WiFi; R. Jemur; Dapur; CCTV; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat kos lainnya;Rp300.000;Rp1.583.000;4.8;(16);25 transaksi berhasil di kos ini;Kos Campur;Diskon 82rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-apik-pondok-sagre-kepu-tipe-d-senen-jakarta-pusat?redirection_source=list%20kos%20result%20boundary
Kost Apik Pondok Sally Tipe A Beji Depok;Kos dikelola oleh Maya;Depok;Beji;4.5 x 3 meter;Termasuk listrik (implied);Rp900.000;"4.5 x 3 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Kursi; Bantal; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; Dapur; Parkir Mobil; Parkir Motor; Parkir Sepeda";Tersisa3 kamar;Rp200.000;Rp810.000;4.9;(48);110 transaksi berhasil di kos ini;Kos Putri;Diskon 90rb;https://mamikos.com/room/kost-depok-kost-putri-murah-kost-apik-pondok-sally-tipe-a-beji-depok-1?redirection_source=list%20kos%20result%20boundary
Kost Apik Prospera Living Tipe A Senen Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Senen;6 x 2.7 meter;Tidak termasuk listrik;Rp1.823.000;"6 x 2.7 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Bantal; Kloset Duduk; K. Mandi Luar; Ember mandi; WiFi; R. Cuci; Penjaga Kos; R. Jemur; Parkir Motor & Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp150.000;Rp1.733.100;4.6;Not found;Not found;Kos Campur;Diskon 90rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-apik-prospera-living-tipe-a-senen-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Prospera Living Tipe B Senen Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Senen;3.2 x 2.7 meter;Tidak termasuk listrik;N/A;"3.2 x 2.7 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Kloset Duduk; K. Mandi Luar; Ember mandi; WiFi; R. Cuci; Penjaga Kos; R. Jemur; Parkir Motor & Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp150.000;Rp1.323.000;4.8;Not found;7 transaksi berhasil di kos ini;Kos Campur;Diskon 90rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-apik-prospera-living-tipe-b-senen-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Prospera Living Tipe C Senen Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Senen;3.2 x 2.7 meter;Tidak termasuk listrik;N/A;"3.2 x 2.7 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; Kursi; Kloset Duduk; K. Mandi Luar; Ember mandi; WiFi; R. Cuci; Penjaga Kos; R. Jemur; Parkir Motor & Sepeda";Tersisa1 kamar;Rp150.000;Rp923.000;4.5;Not found;1 transaksi berhasil di kos ini;Kos Campur;Diskon 90rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-murah-kost-apik-prospera-living-tipe-c-senen-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Protein Otista Tipe A Jatinegara Jakarta Timur;Kos dikelola oleh Bella;Jakarta Timur;Jatinegara;3.5 x 2 meter;Termasuk listrik (implied);Rp1.425.000;"3.5 x 2 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; Penjaga Kos; R. Makan; R. Jemur; Dapur; Dispenser; TV; K. Mandi Luar; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp150.000;Rp1.355.000;4.4;(3);3 transaksi berhasil di kos ini;Kos Putri;Diskon 70rb;https://mamikos.com/room/kost-kota-jakarta-timur-kost-putri-eksklusif-kost-apik-protein-otista-tipe-a-jatinegara-jakarta-timur-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Protein Otista Tipe B Jatinegara Jakarta Timur;Kos dikelola oleh Bella;Jakarta Timur;Jatinegara;2 x 2.5 meter;Termasuk listrik (implied);Rp975.000;"2 x 2.5 meter; Termasuk listrik; Kasur; Lemari Baju; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Jongkok; Shower; WiFi; Kulkas; R. Tamu; Penjaga Kos; R. Makan; R. Jemur; Dapur; Dispenser; TV; K. Mandi Luar; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp150.000;Rp927.500;4.8;(39);53 transaksi berhasil di kos ini;Kos Putri;Diskon 48rb;https://mamikos.com/room/kost-kota-jakarta-timur-kost-putri-murah-kost-apik-protein-otista-tipe-b-jatinegara-jakarta-timur?redirection_source=list%20kos%20result%20boundary
Kost Apik Puri Gading 1 UI Tipe B Beji Depok;Kos dikelola oleh Maya;Depok;Beji;3 x 3 meter;Termasuk listrik (implied);Rp898.000;"3 x 3 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Kursi; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Kulkas; R. Tamu; R. Jemur; Dapur; Dispenser; TV; CCTV; Parkir Motor; Parkir Sepeda";Tersisa1 kamar;Rp300.000;Rp810.700;4.8;(59);158 transaksi berhasil di kos ini;Kos Putra;Diskon 87rb;https://mamikos.com/room/kost-depok-kost-putra-murah-kost-apik-puri-gading-1-ui-tipe-b-beji-depok-1?redirection_source=list%20kos%20result%20boundary
Kost Apik Puri Rinda Tipe A Jagakarsa Jakarta Selatan;Kos dikelola oleh Maya;Jakarta Selatan;Kecamatan Jagakarsa;3.5 x 3 meter;Termasuk listrik (implied);Rp2.825.000;"3.5 x 3 meter; Termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kursi; Bantal; Cermin; Guling; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Penjaga Kos; Dapur; Dispenser; K. Mandi Luar; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp300.000;Rp2.685.000;5.0;(3);5 transaksi berhasil di kos ini;Kos Putri;Diskon 140rb;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-putri-eksklusif-kost-apik-puri-rinda-tipe-a-jagakarsa-jakarta-selatan?redirection_source=list%20kos%20result%20boundary
Kost Apik Puri Rinda Tipe B Jagakarsa Jakarta Selatan;Kos dikelola oleh Maya;Jakarta Selatan;Kecamatan Jagakarsa;3 x 3 meter;Termasuk listrik (implied);Rp1.925.000;"3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kursi; Bantal; Cermin; Guling; Jendela; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; Air panas; WiFi; Penjaga Kos; Dapur; Dispenser; Parkir Mobil; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp300.000;Rp1.830.000;4.9;(4);12 transaksi berhasil di kos ini;Kos Putri;Diskon 95rb;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-putri-eksklusif-kost-apik-puri-rinda-tipe-b-jagakarsa-jakarta-selatan?redirection_source=list%20kos%20result%20boundary
Kost Apik Puri Rinda Tipe C Jagakarsa Jakarta Selatan;Kos dikelola oleh Maya;Jakarta Selatan;Kecamatan Jagakarsa;3 x 3 meter;Termasuk listrik (implied);Rp1.825.000;"3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kursi; Bantal; Cermin; Guling; Jendela; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; Air panas; WiFi; Penjaga Kos; Dapur; Dispenser; Parkir Mobil; Parkir Motor; Parkir Sepeda";Tersisa1 kamar;Rp300.000;Rp1.735.000;5.0;(5);8 transaksi berhasil di kos ini;Kos Putri;Diskon 90rb;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-putri-eksklusif-kost-apik-puri-rinda-tipe-c-jagakarsa-jakarta-selatan?redirection_source=list%20kos%20result%20boundary
Kost Apik R & R Condet Tipe A Pasar Rebo Jakarta Timur;Kos dikelola oleh Bella;Jakarta Timur;Pasar Rebo;3 x 2 meter;Tidak termasuk listrik;Rp1.175.000;"3 x 2 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Guling; Jendela; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; Kulkas; R. Tamu; Penjaga Kos; R. Makan; R. Jemur; Dapur; CCTV; Parkir Motor; Parkir Sepeda";Tersisa1 kamar;Rp200.000;Rp1.117.500;Not found;Not found;1 transaksi berhasil di kos ini;Kos Campur;Diskon 58rb;https://mamikos.com/room/kost-jakarta-timur-kost-campur-eksklusif-kost-apik-r-r-condet-tipe-a-pasar-rebo-jakarta-timur-2?redirection_source=list%20kos%20result%20boundary
Kost Apik R & R Condet Tipe B Pasar Rebo Jakarta Timur;Kos dikelola oleh Bella;Jakarta Timur;Pasar Rebo;3 x 3 meter;Tidak termasuk listrik;Rp1.075.000;"3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Kulkas; R. Tamu; Penjaga Kos; R. Makan; R. Jemur; Dapur; K. Mandi Luar; CCTV; Parkir Motor; Parkir Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp200.000;Rp1.022.500;4.6;(18);28 transaksi berhasil di kos ini;Kos Campur;Diskon 53rb;https://mamikos.com/room/kost-jakarta-timur-kost-campur-eksklusif-kost-apik-r-r-condet-tipe-b-pasar-rebo-jakarta-timur-2?redirection_source=list%20kos%20result%20boundary
Kost Apik R & R Condet Tipe C Pasar Rebo Jakarta Timur;Kos dikelola oleh Bella;Jakarta Timur;Pasar Rebo;2.8 x 2 meter;Tidak termasuk listrik;Rp925.000;"2.8 x 2 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Guling; Jendela; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; Kulkas; R. Tamu; Penjaga Kos; R. Makan; R. Jemur; Dapur; CCTV; Parkir Motor; Parkir Sepeda";N/A;Rp200.000;Rp880.000;4.6;(21);27 transaksi berhasil di kos ini;Kos Campur;Diskon 45rb;https://mamikos.com/room/kost-jakarta-timur-kost-campur-eksklusif-kost-apik-r-r-condet-tipe-c-pasar-rebo-jakarta-timur-2?redirection_source=list%20kos%20result%20boundary
Kost Apik R Sari Tipe A Cempaka Putih Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Cempaka Putih;2.5 x 1.7 meter;Termasuk listrik (implied);Rp850.000;"2.5 x 1.7 meter; Termasuk listrik; Kasur; Ventilasi; Bantal; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; Penjaga Kos; R. Jemur; CCTV; Jemuran; Parkir Motor & Sepeda";N/A;Rp150.000;Rp807.500;4.5;(1);14 transaksi berhasil di kos ini;Kos Campur;Diskon 43rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-murah-kost-apik-r-sari-tipe-a-cempaka-putih-jakarta-pusat?redirection_source=list%20kos%20result%20boundary
Kost Apik R Sari Tipe B Cempaka Putih Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Cempaka Putih;2.5 x 1.7 meter;Termasuk listrik (implied);Rp750.000;"2.5 x 1.7 meter; Termasuk listrik; Kasur; Ventilasi; Bantal; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; Penjaga Kos; R. Jemur; CCTV; Jemuran; Parkir Motor & Sepeda";Tersisa3 kamar;Rp150.000;Rp712.500;4.6;(5);31 transaksi berhasil di kos ini;Kos Campur;Diskon 38rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-murah-kost-apik-r-sari-tipe-b-cempaka-putih-jakarta-pusat?redirection_source=list%20kos%20result%20boundary
Kost Apik Rawamangun 23A Tipe A Pulo Gadung Jakarta Timur;Kos dikelola oleh Bella;Jakarta Timur;Pulo Gadung;5.1 x 2.6 meter;Tidak termasuk listrik;N/A;"5.1 x 2.6 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Cuci; R. Jemur; Dapur; CCTV; Jemuran; Parkir Motor & Sepeda";Tersisa1 kamar;Rp200.000;Rp1.225.000;5.0;(3);11 transaksi berhasil di kos ini;Kos Putri;Not found;https://mamikos.com/room/kost-kota-jakarta-timur-kost-putri-murah-kost-apik-rawamangun-23a-tipe-a-pulo-gadung-jakarta-timur?redirection_source=list%20kos%20result%20boundary
Kost Apik Rawamangun 23A Tipe C Pulo Gadung Jakarta Timur;Kos dikelola oleh Bella;Jakarta Timur;Pulo Gadung;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Kloset Jongkok; K. Mandi Luar; Bak mandi; WiFi; R. Cuci; R. Jemur; Dapur; CCTV; Jemuran; Parkir Motor & Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp200.000;Rp925.000;4.5;(3);7 transaksi berhasil di kos ini;Kos Putri;Not found;https://mamikos.com/room/kost-kota-jakarta-timur-kost-putri-murah-kost-apik-rawamangun-23a-tipe-c-pulo-gadung-jakarta-timur?redirection_source=list%20kos%20result%20boundary
Kost Apik Rawasari 29 Tipe A Cempaka Putih Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Cempaka Putih;3.1 x 2.8 meter;Tidak termasuk listrik;N/A;"3.1 x 2.8 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Guling; Bantal; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp200.000;Rp1.275.000;4.4;(10);30 transaksi berhasil di kos ini;Kos Campur;Diskon 108rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-apik-rawasari-29-tipe-a-cempaka-putih-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Rayan Tipe A Cilandak Jakarta Selatan;Kos dikelola oleh Dida;Jakarta Selatan;Cilandak;3.5 x 3.5 meter;Termasuk listrik (implied);N/A;"3.5 x 3.5 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Penjaga Kos; R. Santai; Balcon; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp150.000;Rp1.200.000;4.5;(7);15 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-jakarta-selatan-kost-campur-eksklusif-kost-apik-rayan-tipe-a-cilandak-jakarta-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Restu Ibu Lenteng Agung Tipe E Jagakarsa Jakarta Selatan;Kos dikelola oleh Maya;Jakarta Selatan;Jagakarsa;2.8 x 2.8 meter;Termasuk listrik (implied);N/A;"2.8 x 2.8 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Kursi; Bantal; Jendela; Kloset Jongkok; K. Mandi Luar; Ember mandi; Shower; WiFi; R. Cuci; R. Tamu; Penjaga Kos; Dapur; TV; CCTV; Parkir Mobil; Parkir Motor & Sepeda";Tersisa2 kamar;Rp150.000;Rp700.000;4.9;(33);63 transaksi berhasil di kos ini;Kos Putri;Diskon 40rb;https://mamikos.com/room/kost-jakarta-selatan-kost-putri-murah-kost-apik-restu-ibu-lenteng-agung-tipe-e-jagakarsa-jakarta-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Riyadus Solihin Park View Tipe A Pondok Aren Tangerang Selatan;Kos dikelola oleh Dida;Tangerang Selatan;Pondok Aren;3 x 3 meter;Termasuk listrik (implied);Rp1.325.000;"3 x 3 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Cuci; Kulkas; R. Tamu; Mesin Cuci; Penjaga Kos; R. Jemur; Dapur; Parkir Motor & Sepeda";Tersisa1 kamar;Rp150.000;Rp1.260.000;4.5;(4);5 transaksi berhasil di kos ini;Kos Putra;Diskon 65rb;https://mamikos.com/room/kost-tangerang-selatan-kost-putra-eksklusif-kost-apik-riyadus-solihin-park-view-tipe-a-pondok-aren-tangerang-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Riyadus Solihin Park View Tipe B Pondok Aren Tangerang Selatan;Kos dikelola oleh Dida;Tangerang Selatan;Pondok Aren;3 x 3 meter;Termasuk listrik (implied);Rp925.000;"3 x 3 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Cuci; Kulkas; R. Tamu; Mesin Cuci; Penjaga Kos; R. Jemur; Dapur; Parkir Motor & Sepeda";N/A;Rp150.000;Rp880.000;4.6;(7);11 transaksi berhasil di kos ini;Kos Putra;Diskon 45rb;https://mamikos.com/room/kost-tangerang-selatan-kost-putra-murah-kost-apik-riyadus-solihin-park-view-tipe-b-pondok-aren-tangerang-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Rumah Deka Tipe A Pondok Aren Tangerang Selatan;Kos dikelola oleh Dida;Tangerang Selatan;Pondok Aren;3 x 3 meter;Termasuk listrik (implied);Rp705.000;"3 x 3 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Kursi; Kloset Jongkok; K. Mandi Luar; Bak mandi; WiFi; R. Jemur; Dapur; Parkir Motor & Sepeda";N/A;Rp150.000;Rp650.600;4.4;(7);8 transaksi berhasil di kos ini;Kos Putra;Diskon 54rb;https://mamikos.com/room/kost-tangerang-selatan-kost-putra-murah-kost-apik-rumah-deka-tipe-a-pondok-aren-tangerang-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Sakura 9 Tipe A Cengkareng Jakarta Barat;Kos dikelola oleh Bella;Jakarta Barat;Cengkareng;3 x 3 meter;Tidak termasuk listrik;N/A;"3 x 3 meter; Tidak termasuk listrik; Kasur; Jendela; Kipas Angin; Bantal; K. Mandi Dalam; Kloset Duduk; Ember mandi; WiFi; Kulkas; R. Tamu; Penjaga Kos; R. Jemur; Dapur; Taman; Rooftop; Jemuran; Parkir Motor & Sepeda";N/A;Rp150.000;Rp1.155.000;4.8;(47);71 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-jakarta-barat-kost-campur-eksklusif-kost-apik-sakura-9-tipe-a-cengkareng-jakarta-barat-2?redirection_source=list%20kos%20result%20boundary
Kost Apik Seroja 1 Tipe A Cengkareng Jakarta Barat;Kos dikelola oleh Bella;Jakarta Barat;Cengkareng;3 x 2 meter;Termasuk listrik (implied);Rp825.000;"3 x 2 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp150.000;Rp761.000;4.8;(8);12 transaksi berhasil di kos ini;Kos Campur;Diskon 64rb;https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-murah-kost-apik-seroja-1-tipe-a-cengkareng-jakarta-barat?redirection_source=list%20kos%20result%20boundary
Kost Apik Seroja 1 Tipe B Cengkareng Jakarta Barat;Kos dikelola oleh Bella;Jakarta Barat;Cengkareng;2 x 2 meter;Termasuk listrik (implied);Rp800.000;"2 x 2 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda";Tersisa2 kamar;Rp150.000;Rp738.000;4.6;(13);25 transaksi berhasil di kos ini;Kos Campur;Diskon 62rb;https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-murah-kost-apik-seroja-1-tipe-b-cengkareng-jakarta-barat?redirection_source=list%20kos%20result%20boundary
Kost Apik Shafira Tipe A Kemayoran Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Kemayoran;4.5 x 3.5 meter;Tidak termasuk listrik;N/A;"4.5 x 3.5 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; K. Mandi Dalam; Kloset Jongkok; Shower; WiFi; R. Cuci; Penjaga Kos; R. Jemur; Rooftop; Parkir Motor & Sepeda";Kamar penuh,lihat tipe kamar lainnya;Rp150.000;Rp1.625.000;4.6;(10);26 transaksi berhasil di kos ini;Kos Putri;Diskon 87rb;https://mamikos.com/room/kost-jakarta-pusat-kost-putri-eksklusif-kost-apik-shafira-tipe-a-kemayoran-jakarta-pusat?redirection_source=list%20kos%20result%20boundary
Kost Apik Shafira Tipe A Pamulang Tangerang Selatan;Kos dikelola oleh Dida;Tangerang Selatan;Pamulang;2.6 x 2.1 meter;Termasuk listrik (implied);Rp825.000;"2.6 x 2.1 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Kipas Angin; Bantal; Cermin; Jendela; Kloset Duduk; Kloset Jongkok; K. Mandi Luar; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; Penjaga Kos; R. Jemur; Dapur; CCTV; Jemuran; Parkir Motor & Sepeda";N/A;Rp150.000;Rp761.000;5.0;Not found;Not found;Kos Putri;Diskon 64rb;https://mamikos.com/room/kost-kabupaten-tangerang-kost-putri-murah-kost-apik-shafira-tipe-a-pamulang-tangerang-selatan-2?redirection_source=list%20kos%20result%20boundary
