room_name;owner_name;region;location;room_size;is_electricity_included;price_before_discount_bs;all_facilities_bs;room_availability_bs;deposit_amount_bs;price;rating;rating_count;transaction_count;tipe_kos;discount_amount;url
Kost Singgahsini Ono Tipe C Cempaka Putih Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Cempaka Putih;3.6 x 2.6 meter;Tidak termasuk listrik;N/A;"3.6 x 2.6 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Ventilasi; Kipas Angin; Bantal; Cermin; Guling; Jendela; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; R. Tamu; R. Jemur; Dapur; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp150.000;Rp875.000;4.5;Not found;5 transaksi berhasil di kos ini;Kos Campur;Not found;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-murah-kost-singgahsini-ono-tipe-c-cempaka-putih-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Ono Tipe D Cempaka Putih Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Cempaka Putih;4.2 x 2.8 meter;Tidak termasuk listrik;N/A;"4.2 x 2.8 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Tamu; R. Jemur; Dapur; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp150.000;Rp1.375.000;4.6;(3);3 transaksi berhasil di kos ini;Kos Campur;Diskon 63rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-singgahsini-ono-tipe-d-cempaka-putih-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Palang Merah 7 Tipe A Cideng Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Gambir;6.2 x 3.2 meter;Tidak termasuk listrik;Rp2.825.000;"6.2 x 3.2 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Jendela; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; R. Tamu; Penjaga Kos; R. Makan; R. Jemur; Dapur; Balcon; Parkir Mobil; Parkir Motor & Sepeda";Tersisa1 kamar;Rp300.000;Rp2.685.000;4.9;(10);12 transaksi berhasil di kos ini;Kos Campur;Diskon 140rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-singgahsini-palang-merah-7-tipe-a-cideng-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Palang Merah 7 Tipe B Cideng Jakarta Pusat;Kos dikelola oleh Dida;Jakarta Pusat;Gambir;3 x 5 meter;Tidak termasuk listrik;N/A;"3 x 5 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Jendela; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; R. Tamu; Penjaga Kos; R. Makan; R. Jemur; Dapur; Balcon; Parkir Mobil; Parkir Motor & Sepeda";Tersisa1 kamar;Rp300.000;Rp2.225.000;4.6;(20);51 transaksi berhasil di kos ini;Kos Campur;Diskon 140rb;https://mamikos.com/room/kost-kota-jakarta-pusat-kost-campur-eksklusif-kost-singgahsini-palang-merah-7-tipe-b-cideng-jakarta-pusat-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Pancoran 67 Tipe A Jakarta Selatan;Kos dikelola oleh Maya;Jakarta Selatan;Pancoran;3.2 x 2.6 meter;Tidak termasuk listrik;Rp1.825.000;"3.2 x 2.6 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; Penjaga Kos; Dapur; Dispenser; Parkir Motor & Sepeda";Tersisa1 kamar;Rp200.000;Rp1.735.000;4.6;(1);3 transaksi berhasil di kos ini;Kos Campur;Diskon 90rb;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-campur-eksklusif-kost-singgahsini-pancoran-67-tipe-a-jakarta-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Pandji Tipe A Pulo Gadung Jakarta Timur;Kos dikelola oleh Bella;Jakarta Timur;Pulo Gadung;2.4 x 2.6 meter;Termasuk listrik (implied);N/A;"2.4 x 2.6 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Cermin; Guling; Kloset Duduk; K. Mandi Luar; Shower; WiFi; R. Cuci; Kulkas; Penjaga Kos; R. Jemur; Dapur; Dispenser; CCTV; Jemuran; Parkir Motor & Sepeda";Tersisa3 kamar;Rp200.000;Rp1.800.000;4.6;Not found;Not found;Kos Putri;Diskon 87rb;https://mamikos.com/room/kost-kota-jakarta-timur-kost-putri-eksklusif-kost-singgahsini-pandji-tipe-a-pulo-gadung-jakarta-timur-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Parkit 24 Tipe A Beji Depok;Kos dikelola oleh Maya;Depok;Beji;3 x 4 meter;Termasuk listrik (implied);Rp1.625.000;"3 x 4 meter; Termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Ventilasi; Kursi; Jendela; Bantal; Cermin; K. Mandi Dalam; Kloset Duduk; Ember mandi; Wastafel; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; Penjaga Kos; R. Makan; R. Jemur; Dapur; Taman; Parkir Mobil; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp200.000;Rp1.465.000;4.9;(11);37 transaksi berhasil di kos ini;Kos Putri;Diskon 160rb;https://mamikos.com/room/kost-depok-kost-putri-eksklusif-kost-singgahsini-parkit-24-tipe-a-beji-depok-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Paso 1 Tipe A Jagakarsa Jakarta Selatan;Kos dikelola oleh Maya;Jakarta Selatan;Jagakarsa;3.5 x 3 meter;Tidak termasuk listrik;N/A;"3.5 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kursi; Jendela; Bantal; Cermin; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; R. Cuci; Kulkas; R. Tamu; Penjaga Kos; Mesin Cuci; R. Jemur; Dapur; K. Mandi Luar; Parkir Mobil; Parkir Motor & Sepeda";N/A;Rp250.000;Rp2.025.000;4.3;(8);19 transaksi berhasil di kos ini;Kos Campur;Diskon 128rb;https://mamikos.com/room/kost-kota-jakarta-selatan-kost-campur-eksklusif-kost-singgahsini-paso-1-tipe-a-jagakarsa-jakarta-selatan-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Paus Residence Tipe A Pulo Gadung Jakarta Timur;Kos dikelola oleh Bella;Jakarta Timur;Pulo Gadung;4 x 4 meter;Tidak termasuk listrik;Rp2.975.000;"4 x 4 meter; Tidak termasuk listrik; AC; Kasur; TV; Lemari Baju; Jendela; Bantal; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Penjaga Kos; Dapur; Taman; CCTV; Parkir Mobil; Parkir Motor & Sepeda";Kamar penuh,lihat kos lainnya;Rp300.000;Rp2.739.000;5.0;(6);22 transaksi berhasil di kos ini;Kos Campur;Diskon 236rb;https://mamikos.com/room/kost-jakarta-timur-kost-campur-eksklusif-kost-singgahsini-paus-residence-tipe-a-pulo-gadung-jakarta-timur-2?redirection_source=list%20kos%20result%20boundary
Kost Singgahsini Perkici IV STAN Tipe A Bintaro Tangerang Selatan;Kos dikelola oleh Dida;Tangerang Selatan;Pondok Aren;2.3 x 2.8 meter;Tidak termasuk listrik;Rp1.200.000;"2.3 x 2.8 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Jendela; Bantal; Guling; Kloset Duduk; K. Mandi Luar; Ember mandi; WiFi; Kulkas; Penjaga Kos; Dapur; Dispenser; Parkir Motor & Sepeda";N/A;Rp150.000;Rp1.140.000;4.8;(17);44 transaksi berhasil di kos ini;Kos Putri;Diskon 60rb;https://mamikos.com/room/kost-kota-tangerang-selatan-kost-putri-eksklusif-kost-singgahsini-perkici-iv-stan-tipe-a-bintaro-tangerang-selatan-2?redirection_source=list%20kos%20result%20boundary
